City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,San Carlos De Bariloche,AR,2022-07-14 00:39:11,-41.1456,-71.3082,29.95,80,75,5.75
59,Kapoeta,SS,2022-07-14 00:39:11,4.7717,33.5903,74.03,67,75,2.04
60,Smithers,CA,2022-07-14 00:39:11,54.7804,-127.1743,61.12,59,75,5.75
61,Butaritari,KI,2022-07-14 00:39:12,3.0707,172.7902,82.69,78,6,17.43
62,Balkanabat,TM,2022-07-14 00:39:12,39.5108,54.3671,88.07,21,0,6.76
63,Srednekolymsk,RU,2022-07-14 00:39:12,67.45,153.6833,66.04,46,61,13.65
64,Deputatskiy,RU,2022-07-14 00:39:13,69.3,139.9,49.57,69,100,4.45
65,Mount Isa,AU,2022-07-14 00:39:13,-20.7333,139.5,56.97,41,0,14.97
66,Garissa,KE,2022-07-14 00:39:13,-0.4536,39.6401,74.68,71,90,19.89
67,Talnakh,RU,2022-07-14 00:39:14,69.4865,88.3972,56.21,48,66,1.79
68,Arlit,NE,2022-07-14 00:39:14,18.7369,7.3853,92.64,16,98,14.23
69,Georgetown,MY,2022-07-14 00:35:39,5.4112,100.3354,80.89,95,20,2.3
70,Cascais,PT,2022-07-14 00:39:14,38.6979,-9.4215,85.35,50,94,8.01
71,Paka,MY,2022-07-14 00:39:15,4.6374,103.4368,76.98,100,40,0.0
72,Ponta Delgada,PT,2022-07-14 00:38:41,37.7333,-25.6667,68.5,82,75,4.61
73,Beloha,MG,2022-07-14 00:39:15,-25.1667,45.05,60.75,66,0,6.96
74,Port Elizabeth,ZA,2022-07-14 00:39:15,-33.918,25.5701,61.09,62,0,16.11
75,Atuona,PF,2022-07-14 00:39:16,-9.8,-139.0333,77.77,74,30,19.66
76,Pochutla,MX,2022-07-14 00:39:16,15.7432,-96.4661,85.82,86,100,1.72
77,Saldanha,ZA,2022-07-14 00:39:16,-33.0117,17.9442,53.65,93,100,9.89
78,Hilo,US,2022-07-14 00:35:59,19.7297,-155.09,83.28,94,100,11.5
79,Mahebourg,MU,2022-07-14 00:39:17,-20.4081,57.7,68.29,83,75,14.97
80,San Ramon,US,2022-07-14 00:39:17,37.7799,-121.978,87.6,52,0,18.41
81,Kavieng,PG,2022-07-14 00:39:18,-2.5744,150.7967,84.07,70,100,6.06
82,Shimoda,JP,2022-07-14 00:35:13,34.6667,138.95,77.36,85,93,12.17
83,Azul,AR,2022-07-14 00:39:18,-36.777,-59.8585,51.35,62,100,7.99
84,Porto Seguro,BR,2022-07-14 00:39:19,-16.4497,-39.0647,72.12,88,40,2.3
85,Bethel,US,2022-07-14 00:37:18,41.3712,-73.414,80.96,70,83,1.48
86,Tuatapere,NZ,2022-07-14 00:39:19,-46.1333,167.6833,45.14,83,83,8.97
87,Kimbe,PG,2022-07-14 00:39:19,-5.5502,150.1429,90.1,55,100,6.4
88,San Quintin,MX,2022-07-14 00:39:20,30.4833,-115.95,67.96,77,23,14.14
89,Ouegoa,NC,2022-07-14 00:39:20,-20.35,164.4333,74.08,66,89,12.39
90,Cidreira,BR,2022-07-14 00:37:39,-30.1811,-50.2056,57.87,80,0,21.25
91,Itoman,JP,2022-07-14 00:39:20,26.1247,127.6694,87.82,79,75,4.61
92,Puerto Colombia,CO,2022-07-14 00:40:21,10.9878,-74.9547,82.49,85,19,18.41
93,Mar Del Plata,AR,2022-07-14 00:36:52,-38.0023,-57.5575,51.1,82,0,13.0
94,Tiksi,RU,2022-07-14 00:40:21,71.6872,128.8694,40.05,91,92,8.19
95,El Porvenir,HN,2022-07-14 00:40:21,13.7617,-87.3458,72.73,85,78,4.83
96,Yellowknife,CA,2022-07-14 00:40:22,62.456,-114.3525,64.92,63,75,10.36
97,Kloulklubed,PW,2022-07-14 00:40:22,7.0419,134.2556,81.1,72,20,5.59
98,Lompoc,US,2022-07-14 00:40:22,34.6391,-120.4579,83.01,57,0,14.97
99,Bardiyah,LY,2022-07-14 00:40:23,31.7561,25.0865,75.69,65,0,11.39
100,Cerna,RO,2022-07-14 00:40:23,45.0833,28.3167,62.53,54,0,6.6
101,Ixtapa,MX,2022-07-14 00:40:23,20.7,-105.2,85.23,74,75,6.91
102,San Cristobal,VE,2022-07-14 00:40:24,7.7669,-72.225,75.38,88,77,2.55
103,Dunedin,NZ,2022-07-14 00:40:24,-45.8742,170.5036,50.81,72,100,11.01
104,Carnarvon,AU,2022-07-14 00:40:24,-24.8667,113.6333,68.68,76,0,9.84
105,Saint-Philippe,RE,2022-07-14 00:40:25,-21.3585,55.7679,65.79,80,68,11.01
106,Mahajanga,MG,2022-07-14 00:40:25,-15.7167,46.3167,71.62,64,40,2.3
107,Alyangula,AU,2022-07-14 00:40:25,-13.8483,136.4192,72.41,57,66,18.86
108,Swan River,CA,2022-07-14 00:40:26,52.1058,-101.2676,82.29,47,6,6.91
109,Ahuimanu,US,2022-07-14 00:40:26,21.4447,-157.8378,87.51,83,75,18.41
110,Sao Joao Da Barra,BR,2022-07-14 00:40:26,-21.6403,-41.0511,69.73,93,43,7.47
111,Dano,BF,2022-07-14 00:40:27,11.15,-3.0667,78.08,69,100,4.76
112,Arraial Do Cabo,BR,2022-07-14 00:40:27,-22.9661,-42.0278,71.56,88,40,6.91
113,Ossora,RU,2022-07-14 00:40:27,59.2353,163.0719,73.31,64,47,4.9
114,Turan,VN,2022-07-14 00:40:27,16.0678,108.2208,87.78,70,20,0.0
115,Broome,US,2022-07-14 00:40:28,42.2506,-75.833,69.57,93,23,1.01
116,Albany,US,2022-07-14 00:40:28,42.6001,-73.9662,77.65,94,100,3.71
117,Harlingen,US,2022-07-14 00:39:03,26.1906,-97.6961,89.69,73,0,17.27
118,Pokrovsk,UA,2022-07-14 00:40:29,48.282,37.1758,59.07,65,94,3.11
119,Oussouye,SN,2022-07-14 00:40:29,12.485,-16.5469,80.69,87,100,5.41
120,San Andres,CO,2022-07-14 00:40:07,12.5847,-81.7006,82.42,83,75,12.66
121,Homer,US,2022-07-14 00:40:29,59.6425,-151.5483,62.04,72,0,12.66
122,Poum,NC,2022-07-14 00:40:30,-20.2333,164.0167,74.66,62,100,17.11
123,Norman Wells,CA,2022-07-14 00:40:30,65.282,-126.8329,53.64,94,100,11.5
124,San Patricio,US,2022-07-14 00:40:30,28.017,-97.5169,92.17,55,1,15.68
125,Lebu,CL,2022-07-14 00:40:31,-37.6167,-73.65,43.81,77,32,3.47
126,Kuybysheve,UA,2022-07-14 00:40:31,47.358,36.6491,59.59,61,84,8.37
127,Bara,NG,2022-07-14 00:40:31,10.3744,10.7288,74.64,88,100,5.17
128,Lorengau,PG,2022-07-14 00:40:32,-2.0226,147.2712,85.33,67,26,6.62
129,Ivanovka,KG,2022-07-14 00:40:32,42.8878,75.085,69.73,42,0,3.11
130,Saint-Pierre,RE,2022-07-14 00:40:33,-21.3393,55.4781,66.9,80,75,5.75
131,Santa Cruz,BO,2022-07-14 00:40:33,-17.8,-63.1667,69.26,73,75,14.97
132,Wamba,NG,2022-07-14 00:40:33,8.9333,8.6,70.75,90,100,1.41
133,Sinnamary,GF,2022-07-14 00:40:34,5.3833,-52.95,76.28,89,100,3.24
134,Divnomorskoye,RU,2022-07-14 00:40:34,44.5011,38.1353,67.37,67,11,5.12
135,Klaksvik,FO,2022-07-14 00:40:34,62.2266,-6.589,49.12,89,100,4.38
136,Saint-Augustin,CA,2022-07-14 00:40:35,51.226,-58.6502,52.86,72,100,14.88
137,Verkhoyansk,RU,2022-07-14 00:41:35,67.5447,133.385,64.76,54,23,5.48
138,Grindavik,IS,2022-07-14 00:41:35,63.8424,-22.4338,48.15,87,75,8.05
139,Hambantota,LK,2022-07-14 00:41:36,6.1241,81.1185,79.14,89,20,10.36
140,Bathsheba,BB,2022-07-14 00:41:36,13.2167,-59.5167,81.21,86,20,14.97
