City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
412,Cassilandia,BR,73.18,overcast clouds,-19.1133,-51.7342,Delirius Motel
413,Nhamunda,BR,74.7,broken clouds,-2.1861,-56.7131,Pousada Da Praia
415,Samandag,TR,79.32,clear sky,36.0842,35.9771,Anadolu Palace Hotel
416,Shache,CN,87.44,scattered clouds,38.4167,77.2406,Delong Hotel
417,Kerur,IN,74.84,overcast clouds,16.0167,75.5667,Royal Kichan
420,Conceicao Do Araguaia,BR,72.59,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
421,Awbari,LY,76.77,clear sky,26.5921,12.7805,فندق أوباري
423,Zachary,US,78.67,clear sky,30.6485,-91.1565,"Holiday Inn Express & Suites Baton Rouge North, an IHG Hotel"
427,Ilorin,NG,71.73,overcast clouds,8.5,4.55,SITY INN
431,Thiruvananthapuram,IN,84.18,haze,8.4833,76.9167,Hotel Residency Tower
432,Savannah Bight,HN,82.09,broken clouds,16.45,-85.85,Villa on Dunbar Rock
434,Kulhudhuffushi,MV,81.97,broken clouds,6.6221,73.07,Haajy Guest House 1
436,Ponta Delgada,PT,72.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
441,Grand Gaube,MU,70.2,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
442,Vung Tau,VN,84.13,scattered clouds,10.346,107.0843,Seaside Resort
447,Amahai,ID,78.53,light rain,-3.3333,128.9167,HOTEL ISABELA
448,Caimito,CO,77.76,overcast clouds,8.8123,-75.4107,VIVIENDA ESTUDIANTE
449,Griffith,US,71.53,broken clouds,41.5284,-87.4237,Apartment above Depot Bar
450,Uthal,PK,88.86,overcast clouds,25.8072,66.6219,Al-Mustafa Hotel
451,Atar,MR,89.15,clear sky,20.5169,-13.0499,Oumou Elghoura
452,Wewak,PG,83.68,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
453,Oakdale,US,77.9,clear sky,44.963,-92.9649,Hilton Garden Inn St. Paul/Oakdale
455,Bima,ID,87.64,scattered clouds,-8.4667,118.7167,Lambitu Hotel
456,Forestville,US,73.51,few clouds,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
457,Abu Dhabi,AE,93.22,scattered clouds,24.4667,54.3667,Beach Rotana
459,Capaci,IT,79.25,clear sky,38.1711,13.2393,Hotel Sirenetta
462,Upata,VE,73.18,overcast clouds,8.0086,-62.3989,Posada Villa Nela
467,Gushikawa,JP,89.6,broken clouds,26.3544,127.8686,Kirari Guest House
468,Guozhen,CN,84.85,overcast clouds,34.3659,107.359,Yucai Hotel
469,Cartagena Del Chaira,CO,71.51,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
470,Kisangani,CD,70.23,overcast clouds,0.5167,25.2,Grand Ramela Hotel
476,Ullal,IN,79.75,broken clouds,12.8,74.85,AK INTERNATIONAL LODGE
481,Ballina,AU,72.01,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
482,Cukai,MY,86.0,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
483,Cairns,AU,79.11,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
484,Bambanglipuro,ID,81.1,overcast clouds,-7.95,110.2833,Puri Brata
485,Ikorodu,NG,75.58,light rain,6.6191,3.5041,Holis Resort
486,Flagstaff,US,80.26,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
487,Manzanillo,CU,77.34,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
488,Veraval,IN,82.87,broken clouds,20.9,70.3667,Lords Inn Somnath
489,Cedar Mill,US,71.15,scattered clouds,45.5248,-122.8109,Hilton Garden Inn Portland/Beaverton
490,Saint Anthony,US,78.42,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
491,Serebryansk,KZ,78.57,broken clouds,49.6925,83.2892,"Gostinitsa ""Vodoley"""
493,San Patricio,US,84.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
495,Cohoes,US,74.39,broken clouds,42.7742,-73.7001,Hilton Garden Inn Troy
496,Kirovskiy,RU,76.17,overcast clouds,45.0917,133.5136,"Uyut, Gostinitsa"
500,Padang,ID,84.25,scattered clouds,-0.9492,100.3543,Mercure Padang
501,Tabou,CI,74.7,overcast clouds,4.423,-7.3528,hotêl doufoulougou
504,Bubaque,GW,80.28,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
509,Lokoja,NG,72.61,overcast clouds,7.8024,6.743,Hotel Charvid
510,Russell,US,80.2,clear sky,32.3502,-85.1999,Macs
512,Tucumcari,US,89.44,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
515,Sampit,ID,71.89,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
516,Cody,US,80.82,clear sky,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
520,Gizo,SB,83.52,light rain,-8.103,156.8419,Imagination Island
521,Ormond Beach,US,79.02,broken clouds,29.2858,-81.0559,Makai Beach Lodge
523,Jalingo,NG,71.92,light rain,8.8833,11.3667,Debright Motel
527,Nantucket,US,71.71,scattered clouds,41.2835,-70.0995,Jared Coffin House
528,Mangawan,IN,92.7,clear sky,24.6833,81.55,भोलू ढाबा गोदरी 8
530,Balykshi,KZ,82.4,clear sky,47.0667,51.8667,Гостиница Golden Rose
531,Bintulu,MY,81.01,few clouds,3.1667,113.0333,900 Boutique INN
532,Anzio,IT,74.86,clear sky,41.4853,12.6179,Hotel Lido Garda
536,Kimbe,PG,87.19,light rain,-5.5502,150.1429,Kimbe Bay Hotel
537,Price,US,85.26,clear sky,39.5994,-110.8107,National 9 - Price River Inn
538,Sai Buri,TH,87.51,scattered clouds,6.7013,101.6168,สวนป่ารีสอร์ท
539,Maine-Soroa,NE,79.57,light rain,13.2114,12.0241,Complexe
540,Assiniboia,CA,80.42,clear sky,49.6334,-105.9845,Canalta Hotel Assiniboia
541,Ducheng,CN,89.56,overcast clouds,23.2373,111.5317,Xinyongguang Hotel
543,San Jose,US,78.94,few clouds,37.3394,-121.895,The Westin San Jose
544,Dvurechensk,RU,71.98,few clouds,56.5982,61.0953,Dom Kul'tury
546,Wajima,JP,83.08,broken clouds,37.4,136.9,Wajiima Onsen Yashio
549,Blytheville,US,85.93,clear sky,35.9273,-89.919,Days Inn by Wyndham Blytheville
550,Bowen,AU,71.47,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
552,Tashla,RU,76.08,broken clouds,51.7716,52.7427,Torch Hotel
553,Ayagoz,KZ,84.49,scattered clouds,47.9714,80.4392,ХАН
557,Naze,JP,79.72,light rain,28.3667,129.4833,Shishime Hotel
558,Salumbar,IN,80.58,overcast clouds,24.1333,74.05,chatra chaya guest house
559,Shimoda,JP,83.1,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
562,Hit,IQ,88.57,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
564,Misratah,LY,76.44,clear sky,32.3754,15.0925,Almasa Hotel
567,Tynda,RU,76.69,light rain,55.1667,124.7167,"Gostinitsa ""Tayezhnaya"""
568,Petatlan,MX,77.05,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
570,Shetpe,KZ,94.62,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
573,Luwuk,ID,83.46,moderate rain,-0.9516,122.7875,Hotel Santika Luwuk
574,Soe,ID,72.99,broken clouds,-9.8607,124.284,Dena Hotel
575,Portland,US,71.91,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
576,Mae Ramat,TH,89.8,overcast clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
579,Puerto Lopez,CO,73.35,broken clouds,4.0845,-72.956,Resguardo Indigena Maguare
585,Tazmalt,DZ,80.8,clear sky,36.3868,4.3989,Hôtel Numédia
586,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
587,Pokhara,NP,84.07,few clouds,28.2333,83.9833,OYO 170 Hotel View Point
588,Eyl,SO,79.47,overcast clouds,7.9803,49.8164,Amiin Hotel
589,Guanica,PR,82.06,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
590,Half Moon Bay,US,75.11,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
591,Piacabucu,BR,72.81,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
592,Emerald,AU,71.35,clear sky,-23.5333,148.1667,The Irish Village
593,Ixtapa,MX,80.22,overcast clouds,20.7,-105.2,hotel la terminal
595,Olinda,BR,74.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
596,Magnolia,US,80.29,overcast clouds,33.2671,-93.2393,Budget Inn
597,Iquitos,PE,73.44,few clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
598,Kresek,ID,88.11,moderate rain,-6.1314,106.3797,Kamar aldi
602,Dutse,NG,73.36,overcast clouds,11.7594,9.3392,Central Mosque Galamawa
603,Lansing,US,71.51,overcast clouds,42.7325,-84.5555,Quality Inn University
604,Aden,YE,83.35,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
605,Oussouye,SN,82.49,broken clouds,12.485,-16.5469,Auberge du Routard
606,Nuevo Progreso,MX,79.54,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
607,Thies,SN,81.25,broken clouds,14.8342,-17.1061,Champ de Mame Youss9u
608,Balikpapan,ID,81.59,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
610,Dali,CN,77.04,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
612,Polonnaruwa,LK,90.48,overcast clouds,7.9333,81.0,Thisara Guest House
613,Qeshm,IR,91.27,broken clouds,26.9581,56.2719,Qeshm Kavan Hotel
614,Bairiki,KI,82.4,moderate rain,1.3292,172.9752,Tarawa Boutique Hotel
621,Aswan,EG,83.5,clear sky,24.0934,32.907,Nuba Nile
622,Binabalian,PH,83.77,overcast clouds,16.4202,119.9279,Sundowners Vacation Villas
