City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Lisakovsk,52.5369,62.4936,69.06,69,37,13.35,KZ,scattered clouds
80,Carnarvon,-24.8667,113.6333,71.06,42,80,1.83,AU,broken clouds
81,Zalantun,48.0,122.7167,74.19,75,75,9.66,CN,broken clouds
82,Vaini,-21.2,-175.2,80.76,89,40,5.75,TO,scattered clouds
83,Raga,8.4596,25.678,66.74,97,42,3.36,SS,light rain
84,Mataura,-46.1927,168.8643,52.48,73,97,3.91,NZ,overcast clouds
85,Axim,4.8699,-2.2405,75.06,83,100,9.91,GH,overcast clouds
86,Barrow,71.2906,-156.7887,39.22,87,100,17.27,US,overcast clouds
87,Mujiayingzi,42.1167,118.7833,70.68,72,94,3.15,CN,overcast clouds
88,Itarema,-2.9248,-39.9167,78.64,79,8,16.22,BR,clear sky
89,Te Anau,-45.4167,167.7167,43.29,97,100,6.38,NZ,moderate rain
90,Rawson,-43.3002,-65.1023,38.55,59,41,11.43,AR,scattered clouds
91,Laguna,38.421,-121.4238,96.94,18,0,6.91,US,clear sky
92,Butaritari,3.0707,172.7902,80.78,78,98,8.05,KI,moderate rain
93,Alamosa,37.4695,-105.87,67.98,49,20,5.75,US,few clouds
94,Hobart,-42.8794,147.3294,52.27,67,40,17.27,AU,light rain
95,Brae,60.3964,-1.353,54.82,96,95,18.43,GB,overcast clouds
96,Saint-Philippe,-21.3585,55.7679,65.79,80,36,12.77,RE,light rain
97,Ucluelet,48.9329,-125.5528,59.09,86,33,8.99,CA,scattered clouds
98,Tanabe,33.7333,135.3667,87.01,62,75,10.36,JP,broken clouds
99,Vega De Alatorre,20.0333,-96.6333,78.94,84,27,7.54,MX,scattered clouds
100,Lompoc,34.6391,-120.4579,74.01,90,0,9.22,US,fog
101,Chinsali,-10.5414,32.0816,52.36,78,8,10.22,ZM,clear sky
102,Dunedin,-45.8742,170.5036,51.8,49,100,5.01,NZ,overcast clouds
103,Kahului,20.8947,-156.47,84.22,71,40,29.93,US,scattered clouds
104,Lyskovo,56.0328,45.0422,65.89,80,90,5.84,RU,overcast clouds
105,Maceio,-9.6658,-35.7353,74.64,88,100,3.44,BR,overcast clouds
106,Labuhan,-6.8844,112.2051,85.77,65,89,8.61,ID,light rain
107,Safford,32.834,-109.7076,90.52,37,0,14.97,US,clear sky
108,San Cristobal,7.7669,-72.225,71.78,96,31,2.13,VE,scattered clouds
109,Lavrentiya,65.5833,-171.0,53.47,66,75,10.76,RU,broken clouds
110,Genhe,50.7833,121.5167,68.79,88,99,3.98,CN,overcast clouds
111,Tuktoyaktuk,69.4541,-133.0374,60.8,67,100,5.75,CA,overcast clouds
112,Teya,60.3778,92.6267,67.26,42,84,4.32,RU,broken clouds
113,Hithadhoo,-0.6,73.0833,84.67,70,27,15.48,MV,scattered clouds
114,Tuatapere,-46.1333,167.6833,47.16,89,89,8.99,NZ,light rain
115,Kurilsk,45.2333,147.8833,57.47,93,100,13.47,RU,heavy intensity rain
116,Georgetown,5.4112,100.3354,89.53,74,20,4.61,MY,haze
117,Campoverde,-8.4753,-74.8058,78.49,98,49,1.74,PE,heavy intensity rain
118,Evensk,61.95,159.2333,53.17,95,100,7.74,RU,overcast clouds
119,Sechura,-5.5569,-80.8222,62.51,79,0,13.24,PE,clear sky
120,Bengkulu,-3.8004,102.2655,84.78,64,82,4.27,ID,broken clouds
121,Sedhiou,12.7081,-15.5569,76.95,95,95,5.17,SN,overcast clouds
122,Thompson,55.7435,-97.8558,68.16,88,100,2.3,CA,overcast clouds
123,Kalaleh,37.3807,55.4916,82.0,65,0,4.61,IR,clear sky
124,Korla,41.7597,86.1469,84.61,28,35,2.75,CN,scattered clouds
125,Cidreira,-30.1811,-50.2056,56.35,79,69,25.88,BR,broken clouds
126,Ahipara,-35.1667,173.1667,57.42,62,29,4.83,NZ,scattered clouds
127,Nanortalik,60.1432,-45.2371,41.0,85,13,6.2,GL,few clouds
128,Pisco,-13.7,-76.2167,59.02,88,12,5.75,PE,mist
129,Sola,-13.8833,167.55,83.07,74,75,11.5,VU,broken clouds
130,Pontes E Lacerda,-15.2261,-59.3353,74.62,62,93,2.8,BR,overcast clouds
131,Havre-Saint-Pierre,50.2334,-63.5986,55.76,94,75,3.44,CA,broken clouds
132,Port Lincoln,-34.7333,135.8667,56.5,73,47,21.18,AU,scattered clouds
133,Faanui,-16.4833,-151.75,77.59,59,56,19.93,PF,broken clouds
134,Los Llanos De Aridane,28.6585,-17.9182,65.95,95,75,17.27,ES,broken clouds
135,Kodiak,57.79,-152.4072,56.71,88,100,3.44,US,overcast clouds
136,Tessalit,20.1986,1.0114,86.77,44,85,17.56,ML,overcast clouds
137,Caucaia,-3.7361,-38.6531,80.55,75,75,13.8,BR,broken clouds
138,Narsaq,60.9167,-46.05,46.62,84,68,3.31,GL,broken clouds
139,Iqaluit,63.7506,-68.5145,55.13,76,75,6.91,CA,broken clouds
140,Fredericksburg,38.3032,-77.4605,73.31,85,75,1.01,US,broken clouds
141,Alpena,45.0617,-83.4327,66.11,97,0,0.0,US,clear sky
142,Uruzgan,32.8333,66.0,84.54,25,0,1.7,AF,clear sky
143,Campos,-21.75,-41.3,65.95,91,100,6.11,BR,overcast clouds
144,Cap-Aux-Meules,47.3821,-61.8597,68.02,68,74,11.5,CA,broken clouds
145,Cobija,-11.0267,-68.7692,73.6,87,36,2.59,BO,scattered clouds
146,Ribeira Grande,38.5167,-28.7,70.56,92,8,6.42,PT,clear sky
147,Vila,42.0304,-8.1588,63.48,51,15,3.06,PT,few clouds
148,Sechelt,49.4664,-123.7694,66.15,76,3,1.45,CA,clear sky
149,Sorland,67.667,12.6934,49.86,81,100,9.17,NO,overcast clouds
150,Cabo San Lucas,22.8909,-109.9124,83.5,49,2,5.01,MX,clear sky
151,Marsh Harbour,26.5412,-77.0636,82.27,80,22,14.09,BS,few clouds
152,Oranjemund,-28.55,16.4333,66.45,29,5,8.68,NA,clear sky
153,Filadelfia,39.9523,-75.1638,75.45,86,100,6.91,US,light rain
154,Smiltene,57.4244,25.9016,48.54,85,29,5.44,LV,scattered clouds
155,Hualmay,-11.0964,-77.6139,60.44,84,27,10.38,PE,scattered clouds
156,Henties Bay,-22.116,14.2845,70.74,32,0,19.1,NA,clear sky
157,Srednekolymsk,67.45,153.6833,63.63,42,59,23.2,RU,broken clouds
158,Aklavik,68.2191,-135.0107,58.93,73,99,6.98,CA,overcast clouds
159,Dongsheng,39.8161,109.9776,76.46,25,71,16.53,CN,broken clouds
160,Oxford,51.7522,-1.256,62.78,80,20,1.14,GB,few clouds
161,Pampa,35.5362,-100.9599,92.35,29,0,12.66,US,clear sky
162,Shelburne,44.0787,-80.2041,63.39,63,86,2.55,CA,overcast clouds
